Subject,Day,Task,Trial,RMS_mean,RMS_std,Env_mean,BurstDur_mean_s,PeakFreq_mean_Hz,CoContrIndex,RMS_flexors,RMS_extensors,RMS_bicep,RMS_lat_tri,RMS_long_tri,CoContr_FlexExt,CoContr_BicTri,RMS_extractor,MNF,MDF,PKF,IEMG,VAR
PT_07,1,Tapes,1,145.92286900671147,65.43977619377556,136.64723647664897,54.8545234375,0.1934814453125,0.6889667541918562,112.52680360057778,158.9649265015993,118.28631778585775,180.18294544759556,198.91413719741104,0.6889667541918562,0.6233316260249746,145.92286900671147,0.6898768751320488,0.31495094299316406,0.018835067749023438,16397668.377197877,3329.59662091136
PT_07,1,Tapes,2,142.39497502720116,65.26951815630815,134.87164954888766,56.014914062500004,0.247802734375,0.6654530635625043,103.1184092908806,150.45847131645792,108.03451405573382,202.2437599442022,204.31628782329452,0.6654530635625043,0.5189530577800826,142.39497502720116,0.8080838686090914,0.5116462707519531,0.024080276489257812,16184597.945866521,2522.367869199072
PT_07,1,Tapes,3,150.3214601257066,75.12245704087285,142.1062419256045,56.520898437499994,0.3753662109375,0.6463096065094669,105.56482481416566,159.2736210763434,114.61038115930181,225.67930612689253,209.0902998861624,0.6463096065094669,0.5236815771314361,150.3214601257066,0.8434276299721204,0.5486011505126953,0.18262863159179688,17052749.031072542,3008.497390794779
PT_07,1,Tapes,4,143.00160535203776,73.68263408819651,134.231186815221,54.4732890625,0.50537109375,0.6388579719607397,101.3417280480401,153.68747311963673,102.9542394115475,215.08453924944985,200.68124182225813,0.6388579719607397,0.48864339812851665,143.00160535203776,0.8380108763652598,0.5660057067871094,0.1518726348876953,16107742.417826522,3088.6326564898645
PT_07,1,Tapes,5,134.33999444440207,66.30151885952095,126.71346949433884,54.3253125,0.2911376953125,0.6527600727272169,100.18481168910536,146.8921235991025,111.25789019118842,165.19139428439254,186.71862158557374,0.6527600727272169,0.5674285192736941,134.33999444440207,0.8026822520191319,0.5140304565429688,0.13184547424316406,15205616.33932066,2383.496451634045
PT_07,1,Tapes_standing,1,170.8595251172141,73.63139842762314,160.25337765837452,50.773875000000004,0.33935546875,0.730670850521825,140.9795209959924,171.1017646977106,154.21008485556078,218.19305952110435,215.18512132243532,0.730670850521825,0.6637924224155235,170.8595251172141,0.7956883777614099,0.5707740783691406,0.03790855407714844,19230405.319004938,4117.080214728524
PT_07,1,Tapes_standing,2,168.02268910602723,71.04234655502955,158.6802363414172,49.81888281249999,0.21484375,0.7147040441486897,131.71286110127542,173.6211673682526,157.96727630438048,204.59766947813034,215.63136485707875,0.7147040441486897,0.6742556269816898,168.02268910602723,0.8849252236870047,0.6308555603027344,0.13947486877441406,19041628.360970065,3578.1076363514144
PT_07,1,Tapes_standing,3,168.22486894974537,75.34430247521655,157.9491103927366,53.5153125,0.211181640625,0.6840819145830976,127.44268265372762,171.94599880885215,141.80636741857094,241.51908823945212,217.94577893984996,0.6840819145830976,0.5747416448594292,168.22486894974537,0.8410713303778257,0.5779266357421875,0.17762184143066406,18953893.24712839,3934.4551735885325
PT_07,1,Tapes_standing,4,164.54367497080833,76.1433017887363,155.1968643323481,56.8356640625,0.479736328125,0.6740931194970252,121.73302332103306,170.6682995839493,131.42820010786835,240.5213714974032,220.78275157105054,0.6740931194970252,0.5514323868602108,164.54367497080833,0.8342213577034296,0.5662441253662109,0.07867813110351562,18623623.719881773,3647.343814868669
PT_07,1,Tapes_standing,5,169.00078078581004,85.97363340165815,157.74843096442498,53.94254687499999,0.601806640625,0.6102484574928527,114.70922059347566,180.65893326817667,127.79062574801871,251.7178734188164,244.02408805691817,0.6102484574928527,0.5064875252223946,169.00078078581004,0.812590310643494,0.5533695220947266,0.05602836608886719,18929811.715731002,4849.635498095876
PT_07,1,Tapes_cog_load,1,160.72864288878523,61.23961685663939,149.64258003622015,53.5776328125,0.125732421875,0.750324628836847,131.683978755403,153.65276530119135,155.9250640226584,225.98645055641398,183.94742239254313,0.750324628836847,0.6602864566077976,160.72864288878523,0.6435894274133781,0.37026405334472656,0.04506111145019531,17957109.604346417,3915.16663042627
PT_07,1,Tapes_cog_load,2,143.7848522349562,59.398920748851445,136.045404539966,55.8517421875,0.1544189453125,0.7573997797422615,115.92240857785929,142.3983839833718,122.63454241968834,203.231178947201,181.87404204014598,0.7573997797422615,0.6026816716677745,143.7848522349562,0.7925106399897236,0.4467964172363281,0.06628036499023438,16325448.544795917,2525.1251498423185
PT_07,1,Tapes_cog_load,3,139.17107840479977,65.31429954993611,129.92287858129004,51.360093750000004,0.0811767578125,0.6401446092495269,102.07249073346586,146.70484900577165,108.2452376341234,199.6500754225777,191.6016809513511,0.6401446092495269,0.5191593976692044,139.17107840479977,0.6878928888958575,0.3552436828613281,0.06651878356933594,15590745.429754803,2881.944556583079
