Subject,Day,Task,Trial,RMS_mean,MNF_mean,MDF_mean,PKF_mean,IEMG_mean,VAR_mean,RMS_flexors,RMS_extensors,RMS_bicep,RMS_lat_tri,RMS_long_tri,MDF_flexors,MDF_extensors,MDF_bicep,MDF_lat_tri,MDF_long_tri,CoContr_FlexExt,CoContr_BicTri
PT_07,1,Tapes,1,145.92286900671147,65.43977619377556,136.64723647664897,54.8545234375,0.1934814453125,0.6889667541918562,112.52680360057778,158.9649265015993,118.28631778585775,180.18294544759556,198.91413719741104,0.6889667541918562,0.6233316260249746,192.75025715652782,106.53207923923846,83.34946632385254,46.871185302734375,16421824.17981458,43974.42652800384
PT_07,1,Tapes,2,142.39497502720116,65.26951815630815,134.87164954888766,56.014914062500004,0.247802734375,0.6654530635625043,103.1184092908806,150.45847131645792,108.03451405573382,202.2437599442022,204.31628782329452,0.6654530635625043,0.5189530577800826,188.19500833687567,102.66926798926829,79.96892929077148,52.66094207763672,16215748.486524576,42160.84296091449
PT_07,1,Tapes,3,150.3214601257066,75.12245704087285,142.1062419256045,56.520898437499994,0.3753662109375,0.6463096065094669,105.56482481416566,159.2736210763434,114.61038115930181,225.67930612689253,209.0902998861624,0.6463096065094669,0.5236815771314361,196.72445869510963,103.10204124304325,80.36637306213379,49.0725040435791,17091182.3275681,47347.52568124389
PT_07,1,Tapes,4,143.00160535203776,73.68263408819651,134.231186815221,54.4732890625,0.50537109375,0.6388579719607397,101.3417280480401,153.68747311963673,102.9542394115475,215.08453924944985,200.68124182225813,0.6388579719607397,0.48864339812851665,188.13745260869922,104.31834688163704,81.18605613708496,49.80111122131348,16168768.939908624,43975.45895240652
PT_07,1,Tapes,5,134.33999444440207,66.30151885952095,126.71346949433884,54.3253125,0.2911376953125,0.6527600727272169,100.18481168910536,146.8921235991025,111.25789019118842,165.19139428439254,186.71862158557374,0.6527600727272169,0.5674285192736941,176.74344696989763,104.4678067381792,81.5420150756836,49.23868179321289,15226367.166039467,38058.46154925348
PT_07,1,Tapes_standing,1,170.8595251172141,73.63139842762314,160.25337765837452,50.773875000000004,0.33935546875,0.730670850521825,140.9795209959924,171.1017646977106,154.21008485556078,218.19305952110435,215.18512132243532,0.730670850521825,0.6637924224155235,224.0617482534167,103.58650200167054,81.11095428466797,47.08409309387207,19274873.645225585,58775.54264541829
PT_07,1,Tapes_standing,2,168.02268910602723,71.04234655502955,158.6802363414172,49.81888281249999,0.21484375,0.7147040441486897,131.71286110127542,173.6211673682526,157.96727630438048,204.59766947813034,215.63136485707875,0.7147040441486897,0.6742556269816898,220.90747278707664,102.05335573174588,79.47444915771484,47.2111701965332,19089604.902776126,56818.20661865032
PT_07,1,Tapes_standing,3,168.22486894974537,75.34430247521655,157.9491103927366,53.5153125,0.211181640625,0.6840819145830976,127.44268265372762,171.94599880885215,141.80636741857094,241.51908823945212,217.94577893984996,0.6840819145830976,0.5747416448594292,220.8515494365635,102.54211905522455,79.31303977966309,50.15873908996582,18996596.46898812,57511.290635164194
PT_07,1,Tapes_standing,4,164.54367497080833,76.1433017887363,155.1968643323481,56.8356640625,0.479736328125,0.6740931194970252,121.73302332103306,170.6682995839493,131.42820010786835,240.5213714974032,220.78275157105054,0.6740931194970252,0.5514323868602108,215.68841587234775,102.92110576637928,80.29651641845703,46.66876792907715,18664264.017193504,55519.72847006303
PT_07,1,Tapes_standing,5,169.00078078581004,85.97363340165815,157.74843096442498,53.94254687499999,0.601806640625,0.6102484574928527,114.70922059347566,180.65893326817667,127.79062574801871,251.7178734188164,244.02408805691817,0.6102484574928527,0.5064875252223946,221.31583749768456,97.63545818684298,74.34797286987305,49.50451850891113,18963661.30507953,60512.99271974919
PT_07,1,Tapes_cog_load,1,160.72864288878523,61.23961685663939,149.64258003622015,53.5776328125,0.125732421875,0.750324628836847,131.683978755403,153.65276530119135,155.9250640226584,225.98645055641398,183.94742239254313,0.750324628836847,0.6602864566077976,210.11739184971236,107.92194919523902,85.20317077636719,52.46925354003906,17985929.487208754,49846.24681072228
PT_07,1,Tapes_cog_load,2,143.7848522349562,59.398920748851445,136.045404539966,55.8517421875,0.1544189453125,0.7573997797422615,115.92240857785929,142.3983839833718,122.63454241968834,203.231178947201,181.87404204014598,0.7573997797422615,0.6026816716677745,188.4676411487706,104.01245003719433,81.15696907043457,50.14681816101074,16360441.762114756,41042.09322466508
PT_07,1,Tapes_cog_load,3,139.17107840479977,65.31429954993611,129.92287858129004,51.360093750000004,0.0811767578125,0.6401446092495269,102.07249073346586,146.70484900577165,108.2452376341234,199.6500754225777,191.6016809513511,0.6401446092495269,0.5191593976692044,183.58927297766172,103.91954939329271,80.69181442260742,46.9670295715332,15619399.23057712,40282.65493015574
PT_07,1,Tapes_cog_load,4,160.56519535469695,79.20334906590692,149.9593641700955,52.2881015625,0.3460693359375,0.6829867096277609,118.65504869554742,167.40930228555365,118.38455529093899,238.43818268268134,224.8617575110082,0.6829867096277609,0.5154398301922005,211.18544687124526,102.80950720178753,79.88524436950684,47.22094535827637,18038028.86203044,54586.30899625984
PT_07,1,Tapes_cog_load,5,152.1531066745048,74.26781259485178,143.41463664781907,55.431390625,0.1416015625,0.6690140545899027,112.84048064088734,160.47500875565652,112.88266736525937,224.14263694507474,208.79836426085095,0.6690140545899027,0.5101852526322173,200.35903810654534,107.03262452527869,84.3956470489502,49.58653450012207,17234761.22844644,48773.96787991935
PT_07,2,Tapes,1,136.47779014018363,45.66985982485423,128.1441724948196,56.131796875,0.308837890625,0.7453095198203477,116.62523674186176,121.26894792863325,158.00348134442245,178.49315148468432,141.06203211153735,0.7453095198203477,0.7878770881926682,181.30992751022558,101.29145123951494,80.48653602600098,37.856340408325195,15397075.242187796,36504.39194922168
PT_07,2,Tapes,2,148.21567785413998,52.00563454276348,139.87457268302904,55.551359375000004,0.21484375,0.7168118657438608,126.03237298532213,134.4294355708788,166.57732023942478,191.4565480989247,158.36382512360598,0.7168118657438608,0.7434930222508752,197.00328616149844,104.46110446481215,83.85848999023438,50.020456314086914,16826356.523180157,43489.966351145835
PT_07,2,Tapes,3,139.48627817323813,46.720211156482506,132.89952771809664,58.354234375,0.3564453125,0.7445058907157871,120.71926859725156,124.18228051478494,163.49802851773072,178.76825346528352,140.84644364194332,0.7445058907157871,0.7801646177003397,185.83204561825005,103.78769923308849,83.53281021118164,60.491085052490234,15978472.92424357,38415.557776727444
PT_07,2,Tapes,4,141.44353485861052,48.85194586198609,134.08440959033845,57.603921875,0.2545166015625,0.7439194223206083,119.91086814143705,126.08573621823474,164.39209212658292,180.4003849595856,151.06739591016267,0.7439194223206083,0.7562725736267986,187.02177817649607,103.05603993373336,82.57913589477539,51.20515823364258,16122336.078176135,39110.56607385039
PT_07,2,Tapes,5,155.04637958563507,57.17041583242635,146.38529735132897,57.44975,0.3271484375,0.7571238901619065,130.17790641731895,134.41294425765685,189.38409155404005,196.74107630999794,164.22440902532674,0.7571238901619065,0.7561042093408463,205.72503230027672,99.16707000474635,79.12302017211914,44.17681694030762,17609176.854800362,47933.10172759084
PT_07,2,Tapes_standing,1,126.50301937969823,113.3533745541606,122.00458457905331,58.59016406250001,1.1572265625,0.42618331013215394,79.53290959686757,187.19187106335926,12.916287529722096,166.66184511459448,225.857122142898,0.42618331013215394,0.06558950049526406,163.3362788836721,127.45155077948893,106.17542266845703,87.92972564697266,14671249.355946634,47559.91550647919
PT_07,2,Tapes_standing,2,123.45486871235161,111.00605519227348,119.1415432376748,59.61352343749999,0.5767822265625,0.42729377258116663,77.2704719352628,182.9894758627379,12.427533152208822,164.28907410025818,219.12369332473986,0.42729377258116663,0.06510168673686645,159.169262881721,123.35737376361111,102.97584533691406,87.55207061767578,14322434.344916003,45375.00269371534
